time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785582888.366,0.104969,-0.001186,0.104976,-0.278
1785582888.402,0.124613,-0.004255,0.124685,-0.169
1785582888.435,0.150542,-0.002992,0.150572,-0.042
1785582888.468,0.167696,-0.001282,0.167701,0.048
1785582888.501,0.185550,-0.002862,0.185572,0.052
1785582888.534,0.212857,-0.005192,0.212920,0.026
1785582888.567,0.229802,-0.004763,0.229852,-0.058
1785582888.605,0.236129,-0.000291,0.236129,-0.109
1785582888.633,0.239126,-0.000668,0.239127,-0.108
1785582888.666,0.242746,0.001379,0.242750,-0.120
1785582888.705,0.246012,0.004165,0.246048,-0.143
1785582888.735,0.245152,0.001245,0.245155,-0.149
1785582888.769,0.244393,-0.001804,0.244400,-0.115
1785582888.801,0.248548,-0.005566,0.248610,0.008
1785582888.834,0.252635,-0.005400,0.252692,0.071
1785582888.868,0.253418,-0.002127,0.253427,0.148
1785582888.904,0.250738,-0.000685,0.250739,0.014
1785582888.933,0.246309,-0.000749,0.246310,-0.045
1785582888.968,0.242625,-0.002512,0.242638,0.060
1785582889.003,0.239899,-0.000856,0.239901,0.147
1785582889.039,0.240335,0.000735,0.240336,0.088
1785582889.068,0.241033,-0.000635,0.241034,0.005
1785582889.103,0.241201,-0.002079,0.241210,0.055
1785582889.136,0.242342,-0.005354,0.242401,0.119
1785582889.169,0.238933,-0.007593,0.239054,0.186
1785582889.200,0.238910,-0.004557,0.238953,0.227
1785582889.233,0.238052,0.002934,0.238070,0.201
1785582889.266,0.237034,0.001628,0.237040,0.175
1785582889.299,0.237385,-0.000429,0.237385,0.139
1785582889.336,0.236506,-0.002066,0.236515,0.095
1785582889.368,0.236879,-0.000055,0.236879,0.154
1785582889.405,0.238486,0.001840,0.238493,0.157
1785582889.434,0.245635,0.002554,0.245648,0.128
1785582889.467,0.245312,0.003442,0.245336,0.060
1785582889.500,0.242712,0.005006,0.242763,-0.010
1785582889.533,0.239750,0.005950,0.239823,0.005
1785582889.566,0.237381,0.002613,0.237396,0.123
1785582889.602,0.237306,0.002648,0.237320,0.148
1785582889.636,0.238428,0.008700,0.238587,0.116
1785582889.668,0.234278,0.007173,0.234388,0.013
1785582889.701,0.231507,0.005529,0.231573,0.018
1785582889.734,0.232196,0.004790,0.232245,0.070
1785582889.768,0.230157,0.002674,0.230172,0.131
1785582889.801,0.229456,0.001173,0.229459,0.119
1785582889.834,0.228362,0.002060,0.228371,0.113
1785582889.866,0.231031,0.003882,0.231064,0.075
1785582889.902,0.234159,0.004467,0.234202,0.026
1785582889.935,0.235344,0.004323,0.235384,0.012
1785582889.968,0.236751,0.003483,0.236777,0.044
1785582890.005,0.237818,0.004420,0.237859,0.065
1785582890.034,0.237353,0.004463,0.237395,0.032
1785582890.067,0.237554,0.002196,0.237564,0.043
1785582890.102,0.238986,0.000891,0.238988,0.062
1785582890.133,0.238215,0.004108,0.238251,0.072
1785582890.167,0.236796,0.004018,0.236830,0.049
