time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785588039.747,0.158527,0.012284,0.159003,-0.013
1785588039.781,0.250187,-0.000205,0.250187,-0.264
1785588039.813,0.233661,-0.009133,0.233839,-0.227
1785588039.849,0.228421,0.002820,0.228439,0.018
1785588039.883,0.254622,0.006283,0.254699,0.027
1785588039.915,0.297789,-0.000644,0.297790,-0.107
1785588039.948,0.328019,-0.005361,0.328063,-0.124
1785588039.982,0.321883,0.000016,0.321883,-0.101
1785588040.014,0.324758,0.005967,0.324813,0.028
1785588040.047,0.324896,0.002323,0.324904,-0.002
1785588040.080,0.321465,-0.005818,0.321517,-0.081
1785588040.114,0.317314,-0.004407,0.317345,0.028
1785588040.150,0.312006,0.003935,0.312031,0.143
1785588040.183,0.306603,0.009803,0.306760,0.140
1785588040.215,0.301659,0.004447,0.301691,0.037
1785588040.248,0.303996,-0.001705,0.304001,0.071
1785588040.282,0.313892,-0.002363,0.313901,0.132
1785588040.315,0.325827,0.005010,0.325866,0.259
1785588040.347,0.325465,0.002707,0.325476,0.087
1785588040.381,0.322285,-0.006289,0.322346,0.116
1785588040.414,0.322250,-0.006890,0.322324,0.365
1785588040.448,0.314213,0.002824,0.314226,0.291
1785588040.480,0.304269,0.005991,0.304328,0.203
1785588040.513,0.306713,0.002814,0.306726,0.176
1785588040.549,0.309472,0.002141,0.309480,0.065
1785588040.583,0.308787,0.002017,0.308794,0.036
1785588040.614,0.314322,-0.001368,0.314325,0.155
1785588040.650,0.320413,-0.000182,0.320413,0.119
1785588040.682,0.320904,0.004407,0.320934,0.067
1785588040.715,0.321674,0.000352,0.321674,0.062
1785588040.749,0.321932,-0.004735,0.321967,0.168
1785588040.781,0.321568,0.000258,0.321569,0.166
1785588040.814,0.317857,0.008108,0.317960,0.123
1785588040.847,0.313265,0.003189,0.313281,0.090
1785588040.880,0.317930,-0.006142,0.317990,0.157
1785588040.912,0.326179,-0.009604,0.326320,0.204
1785588040.949,0.325423,0.001160,0.325425,0.181
1785588040.982,0.316350,0.007640,0.316443,0.112
1785588041.015,0.310891,0.002491,0.310901,0.045
1785588041.048,0.315279,-0.005062,0.315320,0.057
1785588041.082,0.316364,0.002352,0.316372,0.098
1785588041.115,0.320443,0.013131,0.320712,0.129
1785588041.148,0.321071,0.015703,0.321455,-0.066
1785588041.181,0.320594,0.005814,0.320646,-0.052
1785588041.213,0.315527,-0.003283,0.315544,0.007
1785588041.249,0.312231,0.001606,0.312235,0.047
1785588041.282,0.314921,0.008846,0.315045,0.050
1785588041.317,0.314100,0.005157,0.314142,0.001
1785588041.348,0.315255,-0.001164,0.315257,-0.017
1785588041.381,0.319641,-0.001405,0.319645,0.004
1785588041.414,0.318729,0.001520,0.318733,0.126
1785588041.448,0.318382,0.002731,0.318394,0.165
1785588041.481,0.317474,0.003370,0.317492,0.131
1785588041.513,0.314717,0.003217,0.314733,0.094
1785588041.550,0.312658,0.002720,0.312670,0.117
1785588041.582,0.308971,0.005070,0.309012,0.099
1785588041.615,0.310784,0.009704,0.310936,0.117
1785588041.648,0.316294,0.005666,0.316345,0.211
1785588041.682,0.312964,0.009262,0.313101,0.195
1785588041.714,0.314804,0.017318,0.315280,-0.249
1785588041.748,0.321137,0.021588,0.321862,-0.965
1785588041.781,0.322301,0.012566,0.322546,-0.927
1785588041.813,0.314886,-0.001249,0.314889,-0.666
1785588041.849,0.312159,-0.001403,0.312162,-0.356
1785588041.883,0.318220,0.007711,0.318314,-0.266
1785588041.915,0.322786,0.008607,0.322901,-0.467
1785588041.948,0.319781,0.005167,0.319823,-0.798
1785588041.982,0.321044,0.006087,0.321102,-0.737
1785588042.014,0.323526,0.009894,0.323677,-0.700
1785588042.047,0.320647,0.009988,0.320802,-0.562
1785588042.081,0.318762,0.009386,0.318900,-0.504
1785588042.113,0.321157,0.003446,0.321176,-0.473
1785588042.150,0.323060,0.003657,0.323080,-0.435
1785588042.185,0.323665,0.008110,0.323766,-0.343
1785588042.216,0.329008,0.002673,0.329019,-0.353
1785588042.248,0.338883,-0.006321,0.338942,-0.374
1785588042.281,0.328051,-0.001706,0.328056,-0.317
1785588042.314,0.308613,0.016347,0.309045,-0.352
1785588042.347,0.309327,0.019107,0.309917,-0.381
1785588042.381,0.326193,0.003850,0.326215,-0.384
1785588042.413,0.331855,-0.011868,0.332067,-0.363
1785588042.446,0.317814,0.006111,0.317872,-0.233
1785588042.483,0.319034,0.025002,0.320012,-0.198
1785588042.515,0.331348,0.016857,0.331776,-0.346
1785588042.549,0.330665,0.006787,0.330734,-0.596
1785588042.583,0.317539,0.014104,0.317852,-0.530
1785588042.616,0.318682,0.019323,0.319267,-0.454
1785588042.647,0.329915,0.013128,0.330176,-0.462
1785588042.680,0.333204,0.008289,0.333307,-0.472
1785588042.713,0.323731,0.008661,0.323846,-0.596
1785588042.749,0.322836,0.009898,0.322988,-0.532
1785588042.783,0.331265,0.002819,0.331277,-0.464
1785588042.815,0.330393,0.002190,0.330401,-0.443
1785588042.848,0.321634,0.001920,0.321639,-0.452
1785588042.881,0.321481,-0.001117,0.321483,-0.399
1785588042.914,0.331154,0.001252,0.331156,-0.353
1785588042.947,0.328877,0.008224,0.328980,-0.443
1785588042.982,0.321060,0.011700,0.321273,-0.426
1785588043.013,0.322613,-0.003844,0.322636,-0.230
1785588043.050,0.324771,-0.005737,0.324821,0.224
1785588043.083,0.319167,0.014955,0.319518,0.242
1785588043.115,0.320425,0.023406,0.321279,-0.339
1785588043.148,0.322525,0.011324,0.322724,-0.828
1785588043.182,0.328618,-0.004199,0.328645,-0.728
1785588043.214,0.331247,0.004834,0.331282,-0.495
1785588043.248,0.325877,0.015884,0.326264,-0.268
1785588043.281,0.323810,0.009808,0.323959,-0.251
