time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785584019.014,0.162008,0.009221,0.162270,0.137
1785584019.046,0.318654,0.007542,0.318743,-0.443
1785584019.083,0.364541,-0.034812,0.366199,-0.863
1785584019.115,0.349970,-0.016186,0.350344,-0.470
1785584019.150,0.301896,0.006265,0.301961,-0.120
1785584019.181,0.290884,0.000370,0.290884,0.205
1785584019.214,0.315606,-0.012701,0.315861,0.288
1785584019.247,0.329278,-0.013409,0.329551,-0.114
1785584019.281,0.339954,0.011511,0.340149,-0.087
1785584019.314,0.339305,0.009881,0.339449,-0.094
1785584019.346,0.326408,-0.005299,0.326451,-0.097
1785584019.382,0.317673,-0.008868,0.317797,-0.174
1785584019.415,0.314600,0.002174,0.314607,0.116
1785584019.448,0.314863,0.006552,0.314931,0.393
1785584019.484,0.320838,-0.003442,0.320856,0.284
1785584019.513,0.319113,-0.009697,0.319260,-0.031
1785584019.548,0.318020,-0.004559,0.318053,-0.001
1785584019.581,0.321646,0.002323,0.321655,0.085
1785584019.613,0.320262,-0.004673,0.320296,0.197
1785584019.647,0.313783,-0.008657,0.313902,0.158
1785584019.682,0.313651,0.002057,0.313657,0.087
1785584019.713,0.317162,0.005253,0.317205,-0.010
1785584019.746,0.316878,0.000795,0.316879,-0.013
1785584019.783,0.319225,-0.005832,0.319278,0.008
1785584019.815,0.317060,0.003722,0.317082,0.083
1785584019.848,0.309367,0.010201,0.309535,0.058
1785584019.882,0.304170,-0.000577,0.304171,0.031
1785584019.913,0.302822,-0.009737,0.302979,0.167
1785584019.948,0.304379,-0.007263,0.304465,0.239
1785584019.981,0.312944,0.002963,0.312958,0.137
1785584020.012,0.322614,0.004277,0.322642,0.142
1785584020.046,0.324693,-0.005011,0.324732,0.059
1785584020.082,0.326944,-0.011672,0.327153,0.065
1785584020.114,0.328649,-0.001790,0.328654,0.229
1785584020.148,0.308295,-0.001129,0.308297,0.186
1785584020.181,0.301327,-0.003983,0.301354,0.242
1785584020.214,0.307888,-0.002458,0.307897,0.279
1785584020.247,0.309820,0.004092,0.309847,0.098
1785584020.280,0.312566,0.002879,0.312579,0.039
1785584020.312,0.319620,-0.004153,0.319647,0.185
1785584020.346,0.319532,-0.004071,0.319558,0.258
1785584020.382,0.322049,0.003389,0.322067,0.172
1785584020.415,0.325623,0.004896,0.325660,0.032
1785584020.448,0.316913,-0.001263,0.316915,0.092
1785584020.483,0.306857,-0.000518,0.306858,0.160
1785584020.513,0.308372,-0.000001,0.308372,0.113
1785584020.547,0.322244,0.001345,0.322247,0.148
1785584020.581,0.323461,-0.005198,0.323503,0.153
1785584020.613,0.323592,-0.008171,0.323695,0.137
1785584020.645,0.325862,-0.001739,0.325866,0.008
1785584020.683,0.315654,0.004393,0.315685,0.000
1785584020.716,0.307962,0.002187,0.307970,0.179
1785584020.748,0.309597,-0.004669,0.309632,0.091
1785584020.781,0.316178,0.001830,0.316183,0.072
1785584020.814,0.317297,0.010932,0.317485,0.052
1785584020.847,0.321961,0.007629,0.322051,0.011
1785584020.881,0.326224,-0.007145,0.326302,0.028
1785584020.913,0.321477,-0.001899,0.321483,0.140
1785584020.948,0.313228,0.010642,0.313408,0.215
1785584020.983,0.307675,0.007241,0.307760,0.135
1785584021.014,0.310624,-0.005727,0.310676,0.000
1785584021.050,0.317444,-0.007010,0.317521,0.182
1785584021.083,0.318178,0.002193,0.318185,0.272
1785584021.114,0.322383,0.004691,0.322417,0.338
1785584021.150,0.324445,0.000209,0.324445,0.173
1785584021.182,0.318109,0.002036,0.318116,0.097
1785584021.213,0.305817,0.006882,0.305894,0.142
1785584021.246,0.294583,0.000046,0.294583,0.215
1785584021.283,0.293429,-0.005858,0.293488,0.239
1785584021.315,0.296150,-0.000944,0.296152,0.217
1785584021.348,0.329459,0.011191,0.329649,0.233
1785584021.382,0.337483,0.006731,0.337550,0.003
1785584021.414,0.327982,-0.003405,0.328000,-0.279
1785584021.448,0.328058,-0.008576,0.328170,0.047
1785584021.480,0.309593,-0.007497,0.309683,0.115
1785584021.512,0.301329,-0.001623,0.301333,0.310
1785584021.546,0.308931,0.004293,0.308961,0.233
1785584021.583,0.307672,-0.002038,0.307679,0.082
