time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785583747.982,0.101779,0.006474,0.101985,0.233
1785583748.015,0.328419,0.032543,0.330027,-0.297
1785583748.046,0.363227,-0.030976,0.364545,-0.988
1785583748.085,0.338657,-0.046857,0.341883,-1.209
1785583748.113,0.313128,0.004682,0.313163,-0.101
1785583748.148,0.287561,0.013235,0.287866,0.321
1785583748.179,0.281715,-0.003581,0.281738,0.400
1785583748.212,0.296276,-0.012970,0.296560,-0.088
1785583748.245,0.299202,-0.002780,0.299215,-0.107
1785583748.278,0.309765,0.007192,0.309848,0.075
1785583748.314,0.305767,-0.003673,0.305789,0.076
1785583748.346,0.309255,-0.012221,0.309496,-0.026
1785583748.380,0.313855,0.001240,0.313857,-0.269
1785583748.413,0.296502,0.011922,0.296742,0.028
1785583748.445,0.289275,0.006051,0.289339,0.071
1785583748.480,0.291474,-0.002500,0.291484,0.045
1785583748.512,0.295294,0.004011,0.295321,-0.066
1785583748.545,0.287183,0.013825,0.287515,-0.127
1785583748.578,0.288676,0.008543,0.288802,-0.160
1785583748.614,0.288686,-0.003961,0.288713,0.017
1785583748.647,0.288618,-0.000963,0.288620,0.115
1785583748.680,0.293409,0.004941,0.293451,0.109
1785583748.715,0.292643,0.002360,0.292653,-0.039
1785583748.747,0.295335,-0.004269,0.295366,-0.059
1785583748.779,0.299282,-0.001280,0.299285,-0.002
1785583748.812,0.299555,0.002843,0.299568,0.061
1785583748.845,0.297536,0.005231,0.297582,0.055
1785583748.884,0.296558,0.002029,0.296564,-0.066
1785583748.913,0.297490,0.000424,0.297490,-0.094
1785583748.948,0.297911,0.000232,0.297911,-0.074
1785583748.979,0.294825,0.002469,0.294835,-0.032
1785583749.013,0.291044,0.002765,0.291057,-0.018
1785583749.045,0.288447,0.005580,0.288501,-0.010
1785583749.078,0.283782,0.010886,0.283991,-0.064
1785583749.111,0.280960,0.012184,0.281224,-0.167
1785583749.145,0.281856,0.004887,0.281898,-0.125
1785583749.180,0.288162,0.000534,0.288163,0.017
1785583749.213,0.286416,0.000860,0.286418,0.079
1785583749.246,0.290316,0.005168,0.290362,0.056
1785583749.280,0.293184,0.002910,0.293199,0.034
1785583749.312,0.292354,-0.003404,0.292374,0.143
1785583749.345,0.297469,-0.002710,0.297481,0.194
1785583749.379,0.299292,0.005143,0.299336,0.194
1785583749.412,0.295542,0.007841,0.295646,0.039
1785583749.445,0.286719,0.004566,0.286756,0.044
1785583749.483,0.285061,0.003417,0.285081,0.119
1785583749.514,0.291945,0.006170,0.292010,-0.033
1785583749.546,0.290407,0.005236,0.290455,-0.059
1785583749.580,0.293240,0.004169,0.293269,0.028
1785583749.616,0.292101,0.003415,0.292121,0.102
1785583749.646,0.289815,0.005414,0.289865,0.055
1785583749.679,0.289364,0.006462,0.289436,0.003
1785583749.712,0.293536,0.006109,0.293599,0.046
1785583749.746,0.292280,0.005661,0.292335,0.059
1785583749.780,0.291772,0.005707,0.291828,0.053
1785583749.813,0.293473,0.006808,0.293552,0.046
1785583749.847,0.298196,0.000809,0.298197,0.046
1785583749.880,0.302349,-0.008217,0.302460,0.164
1785583749.912,0.303934,-0.005232,0.303979,0.166
1785583749.947,0.296859,0.007090,0.296944,0.113
1785583749.980,0.293897,0.012163,0.294148,-0.005
1785583750.012,0.295775,0.004105,0.295803,-0.060
1785583750.045,0.301402,-0.001263,0.301405,-0.033
1785583750.078,0.299828,0.008698,0.299954,0.008
1785583750.113,0.297535,0.014809,0.297903,-0.012
1785583750.146,0.299213,0.007411,0.299304,-0.036
1785583750.183,0.299727,0.000429,0.299727,-0.058
1785583750.213,0.294626,0.005372,0.294675,-0.033
1785583750.248,0.294265,0.009874,0.294431,-0.026
1785583750.283,0.294701,0.007118,0.294787,-0.044
1785583750.312,0.295127,0.001876,0.295133,-0.056
1785583750.345,0.294406,0.002234,0.294414,-0.044
1785583750.381,0.295048,0.006079,0.295110,-0.022
1785583750.417,0.295350,0.001775,0.295356,0.024
1785583750.447,0.297188,0.001433,0.297191,0.048
1785583750.480,0.298129,0.003326,0.298147,0.042
1785583750.515,0.293703,0.003849,0.293729,0.073
1785583750.546,0.286380,0.001315,0.286383,0.084
1785583750.581,0.285328,-0.002433,0.285339,0.117
1785583750.613,0.285351,-0.002199,0.285360,0.093
1785583750.644,0.284551,0.011118,0.284768,0.004
1785583750.681,0.284147,0.008076,0.284261,-0.070
1785583750.714,0.299330,-0.007514,0.299424,0.882
1785583750.747,0.307274,-0.004577,0.307308,1.023
1785583750.784,0.295528,0.004056,0.295556,0.894
1785583750.812,0.286422,0.009750,0.286588,0.490
1785583750.845,0.293534,0.004372,0.293567,0.350
1785583750.879,0.295320,-0.004850,0.295360,0.416
1785583750.914,0.289639,-0.005999,0.289702,0.612
1785583750.945,0.290945,-0.000087,0.290945,0.632
1785583750.981,0.293781,-0.000416,0.293782,0.609
1785583751.013,0.294288,-0.004044,0.294315,0.532
1785583751.047,0.291479,-0.001257,0.291481,0.461
1785583751.080,0.292086,0.001327,0.292089,0.532
1785583751.113,0.292166,-0.002225,0.292174,0.617
1785583751.146,0.295622,-0.002781,0.295635,0.575
1785583751.180,0.293757,-0.000429,0.293758,0.560
1785583751.212,0.290769,0.002510,0.290780,0.538
1785583751.245,0.292534,0.001955,0.292541,0.488
1785583751.278,0.296147,0.001516,0.296150,0.542
1785583751.314,0.296724,0.003562,0.296745,0.556
1785583751.350,0.301039,0.004455,0.301072,0.496
1785583751.382,0.307052,0.001430,0.307055,0.536
1785583751.413,0.311619,-0.007782,0.311717,0.631
1785583751.446,0.308668,-0.005497,0.308717,0.622
1785583751.482,0.306060,0.007945,0.306163,0.413
1785583751.512,0.303287,0.013353,0.303581,-0.184
1785583751.544,0.295391,-0.005502,0.295442,-0.055
1785583751.578,0.297959,-0.016500,0.298415,0.730
1785583751.613,0.301538,-0.014657,0.301894,1.135
1785583751.647,0.302950,0.000862,0.302951,1.019
1785583751.682,0.296905,0.008502,0.297027,0.757
1785583751.715,0.297844,-0.001361,0.297847,0.599
1785583751.746,0.297040,-0.005729,0.297096,0.573
1785583751.779,0.297893,-0.002468,0.297903,0.761
1785583751.811,0.297993,0.005207,0.298039,0.827
1785583751.844,0.300257,0.004417,0.300290,0.698
1785583751.878,0.299303,0.001556,0.299307,0.617
1785583751.913,0.300735,0.001445,0.300738,0.632
1785583751.949,0.300681,0.004260,0.300711,0.586
1785583751.980,0.301997,0.002113,0.302004,0.649
1785583752.014,0.298016,0.003697,0.298039,0.651
1785583752.046,0.298744,0.007893,0.298848,0.412
1785583752.079,0.299956,0.010253,0.300131,0.005
1785583752.112,0.301184,0.003220,0.301201,0.095
1785583752.145,0.304539,-0.005665,0.304592,0.240
1785583752.178,0.304661,0.001059,0.304662,0.341
1785583752.214,0.298641,0.016382,0.299090,0.135
1785583752.247,0.297175,0.015559,0.297582,0.020
1785583752.281,0.298130,0.002671,0.298142,0.029
1785583752.315,0.289638,-0.004172,0.289668,0.290
1785583752.346,0.289871,0.004452,0.289905,0.378
1785583752.379,0.285271,0.013873,0.285608,0.234
1785583752.413,0.285818,0.014317,0.286176,-0.087
1785583752.444,0.297786,0.006339,0.297854,-0.045
1785583752.479,0.298256,0.000992,0.298257,0.051
1785583752.513,0.298209,0.005704,0.298264,0.129
1785583752.547,0.304231,0.009226,0.304371,0.133
1785583752.580,0.297882,0.007221,0.297969,0.088
1785583752.612,0.297715,0.003765,0.297739,0.071
1785583752.646,0.292601,0.005215,0.292647,0.107
1785583752.679,0.290689,0.008438,0.290811,0.197
1785583752.712,0.291337,0.007351,0.291430,0.159
1785583752.745,0.287576,0.005729,0.287633,0.128
1785583752.778,0.282672,0.006061,0.282737,0.146
1785583752.814,0.292245,0.004798,0.292285,0.303
1785583752.847,0.292518,0.005099,0.292563,0.329
1785583752.880,0.294089,0.007280,0.294180,0.164
1785583752.913,0.297228,0.003604,0.297250,0.036
1785583752.945,0.296599,0.002325,0.296608,0.093
1785583752.980,0.293482,0.007240,0.293571,0.184
1785583753.012,0.291241,0.013052,0.291534,0.060
1785583753.047,0.287333,0.012925,0.287624,-0.003
1785583753.078,0.288936,0.008356,0.289057,0.140
1785583753.114,0.292995,0.005522,0.293047,0.213
1785583753.148,0.296031,0.006506,0.296102,0.198
1785583753.180,0.302058,0.003115,0.302074,0.273
1785583753.213,0.309368,0.005025,0.309409,0.303
1785583753.246,0.303473,0.010188,0.303644,0.189
1785583753.279,0.290533,0.012081,0.290784,0.065
1785583753.312,0.285528,0.010608,0.285725,0.143
1785583753.345,0.286699,0.006757,0.286779,0.117
1785583753.378,0.284065,0.009795,0.284234,0.021
1785583753.414,0.285021,0.013195,0.285326,0.001
1785583753.450,0.294465,0.013378,0.294769,0.105
1785583753.480,0.298524,0.013148,0.298813,0.121
1785583753.513,0.298285,0.013821,0.298605,-0.051
1785583753.545,0.297597,0.014550,0.297953,-0.018
1785583753.579,0.296616,0.011951,0.296857,0.192
1785583753.611,0.292470,0.008194,0.292585,0.263
1785583753.644,0.284354,0.005687,0.284411,0.206
1785583753.679,0.279720,0.008132,0.279838,0.162
1785583753.714,0.279074,0.006470,0.279149,0.192
1785583753.746,0.285570,0.001813,0.285576,0.159
1785583753.780,0.295517,0.001485,0.295521,0.262
1785583753.813,0.309870,0.000069,0.309870,0.115
1785583753.848,0.305986,0.006956,0.306065,-0.012
1785583753.880,0.306472,0.013734,0.306779,-0.163
1785583753.912,0.306206,0.008126,0.306314,0.159
1785583753.945,0.292074,-0.002391,0.292084,0.285
1785583753.978,0.290939,0.008934,0.291077,0.397
1785583754.013,0.289852,0.018976,0.290472,0.230
1785583754.047,0.286179,0.011952,0.286429,0.096
1785583754.080,0.287729,0.003914,0.287755,0.088
1785583754.115,0.287599,0.009059,0.287742,0.295
1785583754.149,0.286745,0.016935,0.287245,0.298
