time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785588882.840,0.149501,0.001019,0.149505,-0.345
1785588882.878,0.173098,-0.000977,0.173101,-0.449
1785588882.909,0.195822,-0.007845,0.195979,-0.245
1785588882.942,0.228514,-0.012233,0.228841,0.077
1785588882.974,0.258725,-0.000539,0.258725,0.151
1785588883.007,0.269941,-0.000098,0.269941,0.086
1785588883.040,0.279656,-0.007887,0.279767,-0.026
1785588883.073,0.305241,-0.009468,0.305387,-0.024
1785588883.108,0.321288,-0.004210,0.321315,0.024
1785588883.139,0.326155,-0.001339,0.326158,0.027
1785588883.175,0.324048,-0.007407,0.324132,0.054
1785588883.208,0.322190,-0.007931,0.322287,0.061
1785588883.241,0.322867,-0.004465,0.322898,0.077
1785588883.274,0.324324,-0.009793,0.324472,0.101
1785588883.307,0.327387,-0.016442,0.327799,0.086
1785588883.343,0.325400,-0.013272,0.325671,0.055
1785588883.373,0.320888,0.000231,0.320888,-0.050
1785588883.406,0.317464,0.001878,0.317470,-0.074
1785588883.440,0.316581,-0.000109,0.316581,-0.057
1785588883.476,0.321183,-0.006055,0.321241,-0.015
1785588883.510,0.322812,-0.005737,0.322863,0.026
1785588883.542,0.318343,0.000284,0.318343,0.014
1785588883.574,0.312911,0.004370,0.312941,-0.018
1785588883.610,0.315791,-0.001052,0.315792,-0.014
1785588883.640,0.316590,-0.004854,0.316627,-0.050
1785588883.673,0.314590,0.003974,0.314615,-0.081
1785588883.706,0.316052,0.005277,0.316096,-0.046
1785588883.739,0.315440,-0.000830,0.315441,0.017
1785588883.776,0.315436,-0.003951,0.315461,0.063
1785588883.808,0.317387,0.003041,0.317402,0.080
1785588883.841,0.313731,0.000572,0.313732,0.078
1785588883.874,0.307940,-0.008047,0.308045,0.097
1785588883.907,0.303594,-0.008379,0.303710,0.102
1785588883.940,0.305909,0.003743,0.305932,0.011
1785588883.973,0.315447,0.018694,0.316000,-0.061
1785588884.008,0.316800,0.007171,0.316881,-0.049
1785588884.041,0.321794,-0.010753,0.321974,0.053
1785588884.072,0.326370,-0.003424,0.326388,0.181
1785588884.109,0.321842,0.014641,0.322175,0.111
1785588884.141,0.315039,0.018366,0.315574,-0.149
1785588884.174,0.316523,0.000452,0.316524,-0.304
1785588884.211,0.317974,-0.009669,0.318121,-0.203
1785588884.240,0.317647,-0.003952,0.317671,0.134
1785588884.273,0.321835,0.010587,0.322009,0.068
1785588884.307,0.324563,0.004242,0.324591,-0.046
1785588884.340,0.322592,-0.004483,0.322623,0.015
1785588884.377,0.321717,-0.005273,0.321760,0.497
1785588884.410,0.323996,0.002132,0.324003,0.755
1785588884.441,0.323513,0.005026,0.323552,0.850
1785588884.477,0.316862,0.000816,0.316863,0.647
1785588884.507,0.317358,0.002714,0.317370,0.538
1785588884.540,0.324422,0.005778,0.324474,0.576
1785588884.575,0.323084,0.005277,0.323128,0.695
1785588884.606,0.320542,0.002410,0.320551,0.648
1785588884.645,0.320965,0.000183,0.320965,0.660
1785588884.675,0.326333,0.001020,0.326334,0.691
1785588884.710,0.324988,0.004094,0.325014,0.683
1785588884.742,0.317939,0.004953,0.317978,0.666
1785588884.774,0.320664,-0.000978,0.320666,0.737
1785588884.808,0.323853,-0.009898,0.324004,0.679
1785588884.842,0.325157,-0.008244,0.325261,0.931
1785588884.875,0.324417,0.005287,0.324460,0.996
1785588884.906,0.324193,0.008967,0.324317,0.842
1785588884.939,0.328633,0.006349,0.328695,0.716
1785588884.975,0.326113,0.003314,0.326130,0.670
1785588885.010,0.321263,0.009025,0.321390,0.658
1785588885.043,0.321277,0.011360,0.321477,0.666
1785588885.077,0.326384,0.009656,0.326527,0.621
1785588885.107,0.323260,0.004137,0.323286,0.529
1785588885.143,0.322598,0.002073,0.322605,0.605
1785588885.174,0.324139,0.012202,0.324369,0.660
1785588885.207,0.326768,0.017042,0.327212,0.370
1785588885.242,0.324436,0.009377,0.324572,-0.075
1785588885.275,0.322216,-0.005307,0.322260,0.018
1785588885.311,0.325248,-0.005065,0.325288,0.335
1785588885.341,0.329523,0.004928,0.329560,0.989
1785588885.374,0.330369,0.004011,0.330393,0.774
1785588885.407,0.323738,-0.003423,0.323756,0.461
1785588885.440,0.321002,-0.006669,0.321071,0.493
1785588885.473,0.326433,0.009371,0.326567,0.941
1785588885.510,0.326797,0.013697,0.327084,0.876
1785588885.539,0.324145,0.009058,0.324272,0.726
1785588885.572,0.325340,0.002791,0.325352,0.477
1785588885.608,0.324940,0.002052,0.324946,0.417
1785588885.641,0.330635,0.005223,0.330677,0.455
1785588885.677,0.329207,0.010669,0.329379,0.504
1785588885.709,0.322228,0.009022,0.322354,0.256
1785588885.740,0.320608,0.005901,0.320662,-0.261
1785588885.773,0.331467,-0.002699,0.331478,0.147
1785588885.806,0.335520,-0.004267,0.335547,0.534
1785588885.839,0.327085,-0.000053,0.327085,0.941
1785588885.875,0.320625,0.011561,0.320834,0.750
1785588885.909,0.331456,0.014392,0.331769,0.516
1785588885.942,0.343901,0.009497,0.344032,0.351
1785588885.974,0.325749,0.001807,0.325754,0.540
1785588886.009,0.310596,0.005656,0.310648,0.554
1785588886.042,0.317672,0.016746,0.318113,0.340
1785588886.075,0.330835,0.015849,0.331215,-0.176
1785588886.108,0.326627,0.006687,0.326695,-0.267
1785588886.142,0.326758,0.001414,0.326761,-0.170
1785588886.172,0.332854,0.002621,0.332864,0.077
1785588886.209,0.329453,0.006008,0.329508,0.094
1785588886.242,0.326283,0.005609,0.326331,-0.105
1785588886.274,0.325270,0.002439,0.325279,-0.156
1785588886.308,0.324112,0.002386,0.324121,-0.093
1785588886.340,0.322539,0.006646,0.322608,-0.010
1785588886.376,0.332131,0.012453,0.332364,0.717
1785588886.407,0.336916,0.009499,0.337050,0.808
1785588886.439,0.331789,0.003044,0.331803,0.773
1785588886.472,0.326361,0.009948,0.326512,0.572
1785588886.509,0.328684,0.015763,0.329061,0.513
1785588886.542,0.330289,0.012854,0.330539,0.560
1785588886.574,0.321311,0.002712,0.321323,0.582
1785588886.609,0.320496,0.007770,0.320590,0.516
1785588886.642,0.323912,0.014675,0.324244,0.551
1785588886.676,0.326419,0.012168,0.326645,0.438
1785588886.708,0.327290,0.009695,0.327433,0.388
1785588886.739,0.330276,0.004490,0.330307,0.452
1785588886.774,0.337842,-0.003415,0.337860,0.522
1785588886.808,0.335289,-0.003449,0.335307,0.554
1785588886.841,0.324201,0.005992,0.324256,0.596
1785588886.874,0.321326,0.014197,0.321640,0.606
1785588886.908,0.330133,0.008265,0.330237,0.593
1785588886.940,0.338660,0.000254,0.338660,1.073
1785588886.973,0.333160,-0.000543,0.333160,1.291
1785588887.008,0.332617,0.001627,0.332621,1.187
1785588887.040,0.333140,0.003400,0.333158,1.157
1785588887.073,0.335746,0.004644,0.335778,1.063
1785588887.109,0.336697,0.002835,0.336708,0.957
1785588887.141,0.335052,0.000640,0.335052,1.048
1785588887.174,0.338131,0.006954,0.338202,1.197
1785588887.210,0.335746,0.010412,0.335907,1.037
1785588887.242,0.330480,0.004113,0.330506,1.062
1785588887.277,0.332321,0.008446,0.332428,1.052
1785588887.307,0.340125,0.011990,0.340337,0.740
1785588887.340,0.336846,0.007129,0.336921,0.434
1785588887.374,0.333203,0.001415,0.333206,0.395
1785588887.409,0.331709,0.002817,0.331721,0.419
1785588887.441,0.333598,0.011917,0.333810,0.551
1785588887.474,0.333812,0.015019,0.334150,0.515
1785588887.508,0.337167,0.007432,0.337249,0.433
1785588887.541,0.340738,0.001959,0.340744,0.423
1785588887.573,0.333556,0.008967,0.333677,0.470
1785588887.606,0.330776,0.010980,0.330958,0.473
1785588887.639,0.336459,0.005382,0.336502,0.512
1785588887.673,0.344186,-0.005346,0.344228,0.547
1785588887.711,0.334996,0.001742,0.335000,0.527
1785588887.742,0.329317,0.012811,0.329566,0.631
1785588887.774,0.343355,0.003159,0.343369,0.751
1785588887.809,0.356479,-0.006915,0.356546,0.759
1785588887.841,0.347722,-0.003691,0.347742,1.278
1785588887.874,0.327951,0.010553,0.328121,1.564
1785588887.907,0.332088,0.015014,0.332428,1.467
1785588887.939,0.343066,0.005228,0.343106,1.454
