time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785586891.572,0.100899,0.004389,0.100994,-0.191
1785586891.605,0.106346,0.000978,0.106351,-0.133
1785586891.640,0.110539,0.000401,0.110540,-0.110
1785586891.675,0.114254,0.003960,0.114323,-0.165
1785586891.707,0.115666,0.006029,0.115823,-0.226
1785586891.740,0.115924,0.004943,0.116030,-0.229
1785586891.774,0.118409,0.004764,0.118505,-0.256
1785586891.805,0.123865,0.002809,0.123897,-0.195
1785586891.839,0.123639,0.000592,0.123641,-0.098
1785586891.871,0.123552,0.002045,0.123569,-0.034
1785586891.907,0.128643,0.006506,0.128807,-0.039
1785586891.940,0.131025,0.007210,0.131223,-0.100
1785586891.973,0.130866,0.004206,0.130933,-0.163
1785586892.006,0.131171,0.001543,0.131180,-0.165
1785586892.039,0.131216,0.001882,0.131229,-0.117
1785586892.072,0.130594,0.005082,0.130693,-0.081
1785586892.105,0.129408,0.007193,0.129608,-0.056
1785586892.138,0.131263,0.004393,0.131336,-0.040
1785586892.172,0.132513,0.000341,0.132514,-0.043
1785586892.205,0.132859,0.001677,0.132869,-0.022
1785586892.240,0.133801,0.004782,0.133887,-0.011
1785586892.273,0.135597,0.003667,0.135646,-0.041
1785586892.308,0.133991,0.000070,0.133991,-0.013
1785586892.339,0.134183,0.000226,0.134183,0.003
1785586892.375,0.134668,0.003801,0.134722,0.044
1785586892.405,0.134101,0.005475,0.134212,0.045
1785586892.438,0.132163,0.001842,0.132176,0.040
1785586892.472,0.131099,-0.000051,0.131099,0.064
1785586892.505,0.130867,0.004096,0.130931,0.053
1785586892.540,0.129083,0.006730,0.129258,0.062
1785586892.577,0.127101,0.002096,0.127118,0.084
1785586892.606,0.127909,-0.001873,0.127923,0.109
1785586892.639,0.128646,-0.000583,0.128647,0.122
1785586892.672,0.129427,0.002335,0.129448,0.151
1785586892.705,0.129974,0.002070,0.129991,0.153
1785586892.738,0.131717,-0.000696,0.131719,0.115
1785586892.771,0.131621,-0.002286,0.131641,0.051
1785586892.805,0.135125,-0.000683,0.135127,0.029
1785586892.840,0.137135,-0.000500,0.137136,-0.006
1785586892.873,0.135703,-0.003571,0.135749,-0.042
1785586892.906,0.135309,-0.005660,0.135427,-0.097
1785586892.939,0.138470,-0.003469,0.138513,-0.093
1785586892.973,0.139990,-0.001942,0.140003,-0.057
1785586893.005,0.137774,-0.003570,0.137820,-0.065
1785586893.039,0.137229,-0.004326,0.137297,-0.097
1785586893.071,0.140234,-0.003106,0.140268,-0.181
1785586893.105,0.139344,-0.001713,0.139354,-0.212
1785586893.140,0.136550,-0.001956,0.136564,-0.257
1785586893.173,0.133920,-0.004808,0.134006,-0.262
1785586893.208,0.132647,-0.006077,0.132787,-0.260
1785586893.241,0.129284,-0.005200,0.129388,-0.225
1785586893.273,0.125454,-0.005233,0.125564,-0.211
1785586893.306,0.123317,-0.008147,0.123585,-0.156
1785586893.338,0.125215,-0.007579,0.125444,-0.108
1785586893.373,0.124505,-0.007373,0.124723,-0.063
1785586893.406,0.121162,-0.010089,0.121581,-0.018
1785586893.440,0.122968,-0.010497,0.123415,-0.010
1785586893.473,0.128331,-0.008624,0.128621,0.007
1785586893.509,0.127910,-0.009691,0.128276,0.021
1785586893.541,0.127150,-0.011248,0.127646,0.018
1785586893.573,0.128457,-0.009684,0.128822,-0.052
1785586893.605,0.130423,-0.006023,0.130562,-0.093
1785586893.638,0.129580,-0.008314,0.129847,-0.082
1785586893.671,0.128226,-0.011082,0.128704,-0.065
1785586893.704,0.128668,-0.009156,0.128993,-0.023
1785586893.740,0.128479,-0.006159,0.128627,0.003
1785586893.773,0.126700,-0.007298,0.126910,-0.012
1785586893.806,0.124015,-0.010300,0.124442,-0.036
1785586893.839,0.121962,-0.010461,0.122410,-0.030
1785586893.873,0.122779,-0.006371,0.122944,0.020
1785586893.905,0.122673,-0.006684,0.122855,0.002
1785586893.938,0.117937,-0.010591,0.118411,-0.002
1785586893.971,0.116090,-0.010829,0.116594,-0.040
1785586894.005,0.118905,-0.005892,0.119051,-0.008
1785586894.040,0.112217,-0.009445,0.112614,0.056
1785586894.075,0.105884,-0.014319,0.106848,0.087
1785586894.108,0.106571,-0.010807,0.107118,0.076
1785586894.140,0.106411,-0.006918,0.106635,0.048
1785586894.173,0.102552,-0.010408,0.103079,0.064
1785586894.208,0.102035,-0.012123,0.102753,0.119
1785586894.238,0.103478,-0.008168,0.103800,0.108
1785586894.272,0.103410,-0.006917,0.103641,0.089
1785586894.305,0.105860,-0.009193,0.106259,0.066
1785586894.341,0.107148,-0.010844,0.107695,0.009
1785586894.374,0.108032,-0.008297,0.108350,-0.009
1785586894.407,0.108157,-0.006861,0.108375,-0.058
1785586894.441,0.111570,-0.007917,0.111851,-0.034
1785586894.473,0.113937,-0.009545,0.114336,-0.020
1785586894.505,0.112442,-0.009317,0.112827,-0.061
1785586894.538,0.109910,-0.005773,0.110061,-0.089
1785586894.573,0.108897,-0.004237,0.108979,-0.169
1785586894.605,0.103368,-0.009120,0.103770,-0.169
