time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785587302.683,0.183358,0.000084,0.183358,0.132
1785587302.717,0.449676,0.035096,0.451043,0.593
1785587302.748,0.531880,0.010642,0.531986,-0.977
1785587302.814,0.258381,-0.029802,0.260094,-1.234
1785587302.850,0.265299,0.009965,0.265486,-0.253
1785587302.884,0.289931,0.005843,0.289990,0.056
1785587302.918,0.377949,0.010566,0.378097,-0.045
1785587302.949,0.397349,-0.002714,0.397358,-0.662
1785587302.983,0.325227,-0.016787,0.325660,-0.637
1785587303.015,0.312031,-0.004923,0.312070,-0.442
1785587303.049,0.295229,-0.001913,0.295235,0.381
1785587303.081,0.307588,-0.006422,0.307655,0.485
1785587303.114,0.346950,-0.003791,0.346971,0.100
1785587303.151,0.344881,-0.000133,0.344881,-0.194
1785587303.184,0.333084,0.004485,0.333114,-0.273
1785587303.216,0.309551,0.003480,0.309571,-0.298
1785587303.249,0.287282,-0.003105,0.287299,0.352
1785587303.283,0.302800,0.001296,0.302802,0.365
1785587303.315,0.320857,-0.006382,0.320920,0.126
1785587303.348,0.334331,-0.002358,0.334339,0.033
1785587303.382,0.337765,0.000329,0.337766,-0.094
1785587303.414,0.329798,-0.005586,0.329846,0.004
1785587303.450,0.316314,-0.013522,0.316603,0.181
1785587303.483,0.310313,-0.010120,0.310478,0.410
1785587303.516,0.318398,-0.001031,0.318400,0.548
1785587303.549,0.320430,0.006581,0.320497,0.199
1785587303.582,0.324542,-0.000740,0.324543,0.134
1785587303.615,0.328500,-0.007535,0.328586,0.216
1785587303.650,0.329157,-0.003377,0.329175,0.268
1785587303.682,0.318150,0.006319,0.318213,0.226
1785587303.714,0.313106,0.002250,0.313114,0.231
1785587303.750,0.319313,-0.005857,0.319367,0.152
1785587303.784,0.319672,-0.002193,0.319679,0.106
1785587303.816,0.320488,0.004270,0.320516,0.111
1785587303.849,0.325034,0.005721,0.325085,0.117
1785587303.882,0.329367,-0.003188,0.329382,0.099
1785587303.915,0.332818,-0.009362,0.332950,0.120
1785587303.948,0.332705,-0.008700,0.332819,0.315
1785587303.984,0.316244,0.000106,0.316244,0.222
1785587304.014,0.309415,0.006620,0.309486,0.148
1785587304.051,0.316757,0.005096,0.316798,0.115
1785587304.084,0.319041,0.003276,0.319058,0.098
1785587304.116,0.319277,0.008308,0.319386,0.138
1785587304.149,0.323438,0.020434,0.324083,0.075
1785587304.182,0.333509,0.018740,0.334036,-0.034
1785587304.215,0.328984,0.006144,0.329042,-0.122
1785587304.248,0.316660,0.001965,0.316666,0.164
1785587304.282,0.308126,0.013526,0.308422,0.177
1785587304.314,0.310295,0.018897,0.310870,0.033
1785587304.350,0.310687,0.005811,0.310742,-0.106
1785587304.384,0.316289,-0.001857,0.316294,-0.058
1785587304.416,0.323635,0.001191,0.323637,0.257
1785587304.450,0.326353,0.010118,0.326510,0.223
1785587304.483,0.326775,0.012136,0.327001,0.065
1785587304.515,0.332843,0.006910,0.332915,-0.069
1785587304.549,0.313685,0.003965,0.313710,0.019
1785587304.583,0.290982,0.009799,0.291147,0.141
1785587304.614,0.298592,0.013782,0.298910,0.311
1785587304.650,0.318540,0.004987,0.318579,0.112
1785587304.684,0.335154,0.010128,0.335307,0.214
1785587304.716,0.337089,0.018062,0.337573,-0.090
1785587304.749,0.324859,0.015120,0.325211,-0.221
1785587304.783,0.310205,0.005717,0.310258,-0.092
1785587304.815,0.300332,0.002536,0.300343,-0.271
1785587304.849,0.307925,0.005076,0.307967,-0.233
1785587304.883,0.326389,0.000647,0.326390,-0.215
1785587304.914,0.320045,-0.001243,0.320047,-0.216
1785587304.951,0.322732,0.004345,0.322762,-0.043
1785587304.984,0.328160,0.005822,0.328212,0.034
1785587305.016,0.324449,0.003520,0.324468,0.024
1785587305.049,0.314826,0.003328,0.314843,-0.051
1785587305.082,0.310602,0.003404,0.310621,0.052
1785587305.115,0.311271,0.003800,0.311294,0.250
1785587305.149,0.310682,0.003396,0.310700,0.113
1785587305.182,0.321533,0.004958,0.321572,0.055
1785587305.214,0.334605,-0.000262,0.334605,0.082
1785587305.251,0.348597,-0.006474,0.348658,0.145
1785587305.284,0.346846,0.001217,0.346849,0.107
1785587305.316,0.318772,0.013254,0.319048,-0.127
1785587305.350,0.297464,0.010285,0.297642,0.224
1785587305.382,0.308080,-0.010607,0.308263,0.400
1785587305.415,0.316643,-0.014119,0.316957,0.548
1785587305.450,0.326912,0.002180,0.326919,0.457
1785587305.482,0.336294,0.016622,0.336704,0.277
1785587305.515,0.332390,0.006631,0.332456,0.073
1785587305.555,0.321360,-0.002596,0.321370,0.142
1785587305.583,0.312716,0.005659,0.312767,0.264
1785587305.617,0.315968,0.012577,0.316219,0.359
1785587305.649,0.322675,0.010558,0.322848,0.221
1785587305.684,0.323438,0.000221,0.323438,0.098
1785587305.715,0.328789,0.002153,0.328796,0.064
1785587305.748,0.331592,0.004597,0.331624,0.204
1785587305.782,0.331560,0.003385,0.331577,0.209
1785587305.815,0.325968,0.000801,0.325969,0.290
1785587305.850,0.316739,0.003432,0.316758,0.246
1785587305.884,0.318394,0.001742,0.318399,0.163
1785587305.916,0.319251,-0.001456,0.319254,0.162
1785587305.953,0.322713,0.006110,0.322771,0.098
1785587305.984,0.325084,0.011809,0.325298,0.036
1785587306.015,0.325251,0.002603,0.325261,0.044
1785587306.048,0.320774,-0.002797,0.320786,0.203
1785587306.081,0.315243,0.006043,0.315301,0.199
1785587306.114,0.317810,0.012042,0.318038,0.126
1785587306.150,0.321412,0.006702,0.321482,0.060
1785587306.184,0.332777,0.004007,0.332801,-0.075
1785587306.216,0.340482,0.009776,0.340622,-0.388
1785587306.249,0.328775,0.013773,0.329063,-0.775
1785587306.282,0.313460,0.003884,0.313484,-0.615
1785587306.315,0.329464,0.000065,0.329464,-0.336
1785587306.349,0.343993,0.002947,0.344006,-0.312
1785587306.382,0.327356,0.006717,0.327425,-0.346
1785587306.415,0.310515,0.003298,0.310533,-0.374
1785587306.451,0.323315,0.004421,0.323345,-0.464
1785587306.485,0.344889,0.009569,0.345022,-0.601
1785587306.517,0.343697,0.012604,0.343928,-1.299
1785587306.549,0.327467,0.003595,0.327487,-1.242
1785587306.584,0.318062,-0.006876,0.318137,-0.851
1785587306.615,0.329141,-0.000779,0.329142,-0.232
1785587306.649,0.337621,0.010642,0.337789,-0.383
1785587306.681,0.324129,0.015004,0.324476,-0.482
1785587306.714,0.317822,0.008729,0.317942,-0.741
1785587306.750,0.335516,-0.003798,0.335537,-0.630
1785587306.784,0.348707,-0.000316,0.348707,-0.470
1785587306.817,0.335904,0.011672,0.336106,-0.405
1785587306.850,0.321773,0.020071,0.322398,-0.687
1785587306.884,0.332607,0.014239,0.332911,-0.864
1785587306.915,0.343816,0.005461,0.343860,-1.228
1785587306.949,0.338236,0.008159,0.338335,-1.289
1785587306.981,0.324911,0.017990,0.325408,-1.090
1785587307.016,0.334066,0.016515,0.334474,-1.062
1785587307.051,0.346220,0.010115,0.346368,-1.127
1785587307.084,0.336205,0.010534,0.336370,-1.089
1785587307.116,0.321713,0.014159,0.322025,-1.053
1785587307.150,0.327297,0.010997,0.327482,-1.019
1785587307.184,0.338541,-0.000048,0.338541,-0.903
1785587307.215,0.336094,-0.000808,0.336095,-0.913
1785587307.248,0.325246,0.005149,0.325286,-0.849
1785587307.281,0.335224,0.000293,0.335224,-0.653
1785587307.314,0.350600,-0.007483,0.350679,-0.276
1785587307.350,0.335745,0.003110,0.335759,-0.307
1785587307.383,0.321124,0.016470,0.321546,-0.448
1785587307.416,0.324237,0.010683,0.324413,-0.535
1785587307.451,0.340516,-0.002860,0.340528,-0.405
1785587307.482,0.344410,-0.002815,0.344422,-0.345
1785587307.515,0.323561,0.011861,0.323778,-0.282
1785587307.549,0.317723,0.018736,0.318274,-0.324
1785587307.581,0.335714,0.005579,0.335760,-0.290
1785587307.614,0.339888,-0.002667,0.339898,-0.470
1785587307.650,0.327918,0.007919,0.328014,-0.499
1785587307.684,0.322927,0.017208,0.323385,-0.436
1785587307.716,0.332997,0.013854,0.333285,-0.401
1785587307.749,0.343048,0.005311,0.343089,-0.466
1785587307.782,0.335787,0.003233,0.335803,-0.470
1785587307.815,0.327075,0.009673,0.327218,-0.465
1785587307.848,0.327148,0.013336,0.327420,-0.421
1785587307.884,0.337712,0.004830,0.337746,-0.350
1785587307.914,0.337831,-0.000196,0.337831,-0.383
1785587307.950,0.329315,0.001710,0.329319,-0.358
1785587307.984,0.334010,0.002471,0.334019,-0.324
1785587308.016,0.345760,-0.003509,0.345778,-0.310
1785587308.049,0.346495,-0.009992,0.346639,-0.341
1785587308.082,0.325602,-0.000948,0.325604,-0.385
1785587308.115,0.322086,0.008083,0.322187,-0.415
1785587308.149,0.336733,0.002782,0.336745,-0.324
1785587308.181,0.347427,-0.008942,0.347542,-0.186
1785587308.214,0.338014,-0.002819,0.338026,0.327
1785587308.250,0.331364,0.014957,0.331702,0.206
1785587308.283,0.326303,0.007381,0.326386,0.045
1785587308.316,0.322534,-0.004584,0.322566,0.194
1785587308.349,0.326531,-0.002742,0.326543,0.239
1785587308.382,0.327401,0.008447,0.327510,0.157
1785587308.415,0.329442,0.006851,0.329514,0.038
1785587308.450,0.335623,0.001956,0.335628,0.056
1785587308.481,0.336576,0.002304,0.336583,0.064
1785587308.514,0.337068,0.009940,0.337215,-0.007
1785587308.553,0.340894,0.011602,0.341092,-0.023
1785587308.583,0.335395,0.009026,0.335516,-0.034
1785587308.616,0.322956,0.002239,0.322964,-0.106
1785587308.649,0.315700,0.005269,0.315744,0.123
1785587308.682,0.318725,0.012156,0.318957,0.113
1785587308.715,0.342656,0.019426,0.343207,-0.468
1785587308.748,0.356951,0.010375,0.357101,-1.301
1785587308.781,0.332317,-0.006991,0.332390,-0.948
1785587308.814,0.318324,-0.009439,0.318463,0.115
1785587308.851,0.333501,0.006870,0.333572,0.384
1785587308.884,0.346637,0.008505,0.346741,0.028
1785587308.916,0.339900,-0.003149,0.339915,-0.484
1785587308.949,0.327521,-0.008008,0.327619,-0.391
1785587308.984,0.333725,0.007508,0.333810,-0.163
1785587309.015,0.346053,0.018683,0.346557,-0.091
1785587309.050,0.341073,0.012639,0.341308,-0.348
1785587309.081,0.328025,-0.001399,0.328028,-0.304
1785587309.115,0.328094,0.000466,0.328094,0.090
1785587309.150,0.326204,0.013618,0.326488,0.392
1785587309.184,0.332957,0.016688,0.333375,0.241
1785587309.216,0.337965,0.014408,0.338272,-0.455
1785587309.250,0.333559,0.008503,0.333667,-0.806
1785587309.283,0.321268,0.009888,0.321421,-0.618
1785587309.315,0.328723,0.013200,0.328988,-0.250
1785587309.348,0.339956,0.016811,0.340372,-0.149
1785587309.381,0.335956,0.010578,0.336123,-0.229
1785587309.414,0.329492,0.007132,0.329569,-0.568
1785587309.450,0.342778,0.004506,0.342808,-0.832
1785587309.484,0.347861,0.005239,0.347900,-0.832
1785587309.516,0.335295,0.009067,0.335418,-1.023
1785587309.549,0.323704,0.011938,0.323924,-0.940
1785587309.582,0.340890,0.005187,0.340930,-0.820
1785587309.615,0.348409,-0.004825,0.348443,-0.711
1785587309.649,0.337861,-0.006054,0.337915,-0.174
1785587309.682,0.328708,0.001189,0.328710,0.011
1785587309.714,0.339272,0.007400,0.339352,0.184
1785587309.751,0.343929,0.012074,0.344140,-0.098
1785587309.784,0.329908,0.009615,0.330049,-0.255
1785587309.816,0.321882,0.005391,0.321927,-0.291
1785587309.851,0.333022,0.003676,0.333042,-0.178
1785587309.883,0.345389,0.009460,0.345519,-0.160
1785587309.917,0.333186,0.010591,0.333354,-0.223
1785587309.949,0.318776,0.009939,0.318931,-0.283
1785587309.982,0.260301,0.014330,0.260695,-0.415
1785587310.016,0.172390,0.012617,0.172851,-0.345
1785587310.052,0.114865,0.005543,0.114999,0.734
1785587310.085,0.106292,0.007567,0.106561,0.685
