time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785583460.187,0.380592,0.035634,0.382256,4.086
1785583460.218,0.526548,0.009908,0.526641,1.395
1785583460.253,0.666476,-0.028472,0.667084,0.717
1785583460.285,0.806278,-0.020343,0.806535,-0.072
1785583460.317,0.911784,0.002970,0.911788,0.125
1785583460.350,0.994581,0.024341,0.994878,0.053
1785583460.383,1.084736,0.021431,1.084947,-2.335
1785583462.018,0.817318,0.017237,0.817500,3.169
1785583462.052,0.770851,0.046987,0.772282,0.978
1785583462.086,0.763552,0.046512,0.764967,-4.376
1785583462.717,0.107086,0.020255,0.108985,-3.084
1785583462.751,0.148016,0.025249,0.150155,-4.054
1785583463.383,0.512180,0.038999,0.513663,-3.646
1785583463.450,0.551676,0.046215,0.553608,-2.306
1785583463.485,0.568357,0.040704,0.569812,-1.962
