time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785588758.772,0.358590,-0.003079,0.358603,-0.137
1785588758.805,0.483181,-0.008209,0.483251,-0.457
1785588758.842,0.402208,-0.020899,0.402751,-0.935
1785588758.873,0.300251,0.000754,0.300252,-0.725
1785588758.906,0.285295,0.013951,0.285636,-0.714
1785588758.940,0.274873,-0.014320,0.275246,-0.376
1785588758.973,0.329495,-0.015201,0.329845,-0.272
1785588759.006,0.359046,-0.002759,0.359056,-0.302
1785588759.039,0.346194,0.006856,0.346262,-0.696
1785588759.072,0.324839,-0.004588,0.324872,-0.772
1785588759.106,0.297533,-0.015563,0.297939,-0.269
1785588759.143,0.289388,0.003337,0.289408,0.051
1785588759.174,0.301970,0.008382,0.302086,-0.055
1785588759.206,0.313409,-0.000897,0.313410,-0.021
1785588759.241,0.328990,-0.007930,0.329085,-0.275
1785588759.273,0.322079,-0.004757,0.322115,-0.280
1785588759.306,0.319559,-0.001748,0.319564,0.069
1785588759.339,0.317905,-0.000275,0.317905,0.015
1785588759.372,0.306367,-0.002868,0.306380,0.034
1785588759.405,0.305197,-0.000302,0.305197,0.191
1785588759.441,0.313218,0.002272,0.313227,0.114
1785588759.474,0.311050,0.002978,0.311064,0.032
1785588759.507,0.320701,0.004426,0.320731,0.042
1785588759.540,0.323361,0.000526,0.323362,0.111
1785588759.573,0.320119,-0.000215,0.320119,0.106
1785588759.606,0.313078,0.009498,0.313222,-0.176
1785588759.638,0.308617,0.009565,0.308766,-0.433
1785588759.671,0.318659,-0.007305,0.318743,-0.402
1785588759.705,0.330166,-0.012122,0.330388,-0.525
1785588759.741,0.317289,0.011562,0.317500,-0.508
1785588759.773,0.303404,0.020341,0.304085,-0.457
1785588759.808,0.317464,0.009249,0.317598,-0.511
1785588759.840,0.336372,-0.007772,0.336462,-0.679
1785588759.873,0.324105,0.001572,0.324109,-0.634
1785588759.906,0.309177,0.014909,0.309536,-0.589
1785588759.939,0.316291,0.013202,0.316566,-0.650
1785588759.973,0.333773,0.000967,0.333774,-0.644
1785588760.005,0.327594,0.007788,0.327686,-0.711
1785588760.042,0.311612,0.021131,0.312328,-0.679
1785588760.073,0.316275,0.018604,0.316821,-0.610
1785588760.110,0.328558,0.011107,0.328745,-0.759
1785588760.140,0.325069,0.014390,0.325387,-0.916
1785588760.173,0.315774,0.015375,0.316148,-0.825
1785588760.208,0.313977,0.012882,0.314241,-0.844
1785588760.240,0.322084,0.010062,0.322241,-0.940
1785588760.271,0.325062,0.014421,0.325382,-0.865
1785588760.305,0.318643,0.017970,0.319149,-0.999
1785588760.341,0.318041,0.013192,0.318314,-1.053
1785588760.375,0.326529,0.008926,0.326651,-0.947
1785588760.408,0.328620,0.008342,0.328726,-1.004
1785588760.440,0.316048,0.018012,0.316560,-0.993
1785588760.473,0.314696,0.021839,0.315453,-0.887
1785588760.508,0.327378,0.018424,0.327896,-0.994
1785588760.539,0.332037,0.012949,0.332290,-1.086
1785588760.572,0.319843,0.016873,0.320288,-0.970
1785588760.604,0.320703,0.017943,0.321205,-0.961
1785588760.641,0.330146,0.019021,0.330693,-0.983
1785588760.674,0.332366,0.021600,0.333067,-0.941
1785588760.708,0.321961,0.025204,0.322946,-1.133
1785588760.740,0.318802,0.018024,0.319311,-1.186
1785588760.772,0.321509,0.011757,0.321724,-1.084
1785588760.808,0.317638,0.006485,0.317704,-1.048
1785588760.839,0.314599,0.008104,0.314704,-1.116
1785588760.873,0.324415,0.022480,0.325193,-1.072
1785588760.906,0.335413,0.026485,0.336457,-1.335
1785588760.942,0.329435,0.016888,0.329868,-1.418
1785588760.974,0.323269,0.015669,0.323648,-1.269
1785588761.007,0.323137,0.023600,0.323998,-1.205
1785588761.040,0.333431,0.020972,0.334090,-1.173
1785588761.074,0.333324,0.013757,0.333607,-1.058
1785588761.106,0.325616,0.011529,0.325820,-1.037
1785588761.139,0.320450,0.018479,0.320982,-0.979
1785588761.172,0.338369,0.014952,0.338699,-0.869
1785588761.205,0.341993,0.008404,0.342096,-0.931
1785588761.241,0.321348,0.016948,0.321795,-1.051
1785588761.273,0.313038,0.027669,0.314259,-0.929
1785588761.309,0.323857,0.023291,0.324694,-1.026
1785588761.340,0.339630,0.008644,0.339740,-1.132
1785588761.376,0.329403,0.011691,0.329610,-0.967
1785588761.406,0.316874,0.022559,0.317676,-0.969
1785588761.439,0.323116,0.028235,0.324347,-1.008
1785588761.472,0.339224,0.021116,0.339881,-1.004
1785588761.505,0.336829,0.024075,0.337689,-1.167
1785588761.544,0.321651,0.027460,0.322821,-1.104
1785588761.573,0.319545,0.021532,0.320270,-0.960
1785588761.609,0.330803,0.013680,0.331086,-0.981
1785588761.641,0.336669,0.018188,0.337160,-1.161
1785588761.673,0.329814,0.020524,0.330452,-1.053
1785588761.706,0.325155,0.018410,0.325676,-1.082
1785588761.739,0.327413,0.012724,0.327660,-1.071
1785588761.772,0.335437,0.015000,0.335772,-1.000
1785588761.806,0.332746,0.017773,0.333220,-1.097
1785588761.841,0.326663,0.014638,0.326991,-1.096
1785588761.873,0.327654,0.013666,0.327939,-0.982
1785588761.907,0.332071,0.016235,0.332468,-1.051
1785588761.940,0.331154,0.023740,0.332004,-1.183
1785588761.973,0.329275,0.021249,0.329960,-1.071
1785588762.006,0.331507,0.013609,0.331786,-1.070
1785588762.039,0.330224,0.013754,0.330510,-1.089
1785588762.072,0.329487,0.024870,0.330424,-1.020
1785588762.108,0.331290,0.025149,0.332243,-1.200
1785588762.141,0.339960,0.020509,0.340578,-1.312
1785588762.174,0.337428,0.018561,0.337938,-1.194
1785588762.209,0.325886,0.018319,0.326400,-1.136
1785588762.240,0.328120,0.014958,0.328461,-1.129
1785588762.273,0.337844,0.008180,0.337943,-1.065
1785588762.306,0.336993,0.010434,0.337154,-1.092
1785588762.340,0.327744,0.016465,0.328157,-1.367
1785588762.371,0.328906,0.020729,0.329558,-1.435
1785588762.405,0.339444,0.022695,0.340202,-1.878
1785588762.441,0.345442,0.021983,0.346141,-2.368
1785588762.474,0.344337,0.018410,0.344829,-2.414
1785588762.508,0.343189,0.017128,0.343616,-2.874
1785588762.540,0.333747,0.012135,0.333967,-2.729
1785588762.572,0.336221,0.010340,0.336380,-2.267
1785588762.605,0.335542,0.013041,0.335796,-1.757
1785588762.640,0.328633,0.021519,0.329337,-1.520
1785588762.673,0.328282,0.024892,0.329224,-1.348
1785588762.704,0.333682,0.016926,0.334111,-1.538
1785588762.742,0.339514,0.010255,0.339669,-1.486
1785588762.774,0.335369,0.015558,0.335729,-1.324
1785588762.809,0.331616,0.022692,0.332392,-1.280
1785588762.841,0.335005,0.022693,0.335773,-1.401
1785588762.875,0.335311,0.017933,0.335790,-1.347
1785588762.906,0.333002,0.016863,0.333429,-1.448
1785588762.939,0.328584,0.021651,0.329297,-1.465
1785588762.971,0.327324,0.028767,0.328585,-1.321
1785588763.005,0.332066,0.026108,0.333091,-1.488
1785588763.041,0.335485,0.015626,0.335849,-1.534
1785588763.073,0.330503,0.012270,0.330730,-1.399
1785588763.107,0.324486,0.018129,0.324992,-1.374
1785588763.140,0.329585,0.021847,0.330308,-1.411
1785588763.172,0.336237,0.014196,0.336537,-1.270
1785588763.206,0.334548,0.009090,0.334671,-1.296
1785588763.239,0.333195,0.012253,0.333420,-1.209
1785588763.272,0.335305,0.015646,0.335670,-1.092
1785588763.305,0.342639,0.008971,0.342757,-1.122
1785588763.342,0.338201,0.007353,0.338281,-1.155
1785588763.374,0.325890,0.016009,0.326283,-1.077
1785588763.408,0.326321,0.024179,0.327216,-1.107
1785588763.440,0.340326,0.018467,0.340827,-1.206
1785588763.472,0.340794,0.006358,0.340853,-1.140
1785588763.506,0.328550,0.007733,0.328641,-1.041
1785588763.538,0.320686,0.017133,0.321144,-0.934
1785588763.571,0.335208,0.023073,0.336001,-0.798
1785588763.605,0.344276,0.018195,0.344757,-0.944
1785588763.641,0.330894,0.022140,0.331634,-1.042
1785588763.674,0.323347,0.028808,0.324628,-0.965
1785588763.708,0.336447,0.023216,0.337247,-1.004
1785588763.741,0.348856,0.008579,0.348961,-0.976
1785588763.775,0.338474,0.011713,0.338677,-0.850
1785588763.806,0.322142,0.022292,0.322912,-0.874
1785588763.839,0.328551,0.025901,0.329571,-0.773
1785588763.872,0.346717,0.015299,0.347054,-0.751
1785588763.905,0.343759,0.010632,0.343924,-0.755
1785588763.942,0.325392,0.016547,0.325813,-0.690
1785588763.975,0.331094,0.016140,0.331487,-0.522
1785588764.008,0.349102,0.006741,0.349167,-0.556
1785588764.040,0.351660,0.000980,0.351661,-0.717
1785588764.073,0.330763,0.014123,0.331064,-0.684
1785588764.106,0.319930,0.027336,0.321096,-0.721
1785588764.139,0.338568,0.022497,0.339315,-0.773
1785588764.172,0.356833,0.007960,0.356922,-0.698
1785588764.206,0.337119,0.011490,0.337315,-0.736
1785588764.241,0.323814,0.026034,0.324859,-0.695
1785588764.274,0.339552,0.025903,0.340538,-0.636
1785588764.308,0.352411,0.016328,0.352789,-0.765
1785588764.341,0.339930,0.011550,0.340126,-0.788
