time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785589849.801,0.393125,-0.028378,0.394148,-0.637
1785589849.834,0.488652,-0.021662,0.489132,-1.081
1785589849.867,0.474768,-0.023116,0.475330,-1.711
1785589849.900,0.301656,-0.000379,0.301656,-1.386
1785589849.933,0.273701,0.003697,0.273726,-0.674
1785589849.966,0.257390,-0.016803,0.257938,-0.488
1785589849.999,0.325652,-0.012237,0.325882,-0.443
1785589850.032,0.338730,-0.002360,0.338738,-0.319
1785589850.065,0.326075,0.001321,0.326078,-0.303
1785589850.101,0.324252,-0.004958,0.324290,-0.540
1785589850.135,0.299335,-0.013364,0.299633,-0.576
1785589850.170,0.290206,-0.014462,0.290566,0.070
1785589850.200,0.294277,-0.014459,0.294632,0.217
1785589850.234,0.303668,-0.011531,0.303887,0.285
1785589850.267,0.316761,-0.005803,0.316814,0.007
1785589850.300,0.312926,-0.003761,0.312949,0.044
1785589850.332,0.309293,-0.004985,0.309333,0.204
1785589850.365,0.313876,0.000952,0.313877,0.137
1785589850.401,0.302924,0.002928,0.302938,0.009
1785589850.437,0.303850,0.000916,0.303852,-0.084
1785589850.469,0.308184,-0.001361,0.308187,0.122
1785589850.500,0.301739,-0.002455,0.301749,0.163
1785589850.534,0.307885,0.000695,0.307886,0.173
1785589850.566,0.314223,0.003929,0.314247,0.109
1785589850.600,0.311209,0.005433,0.311256,-0.029
1785589850.632,0.309628,0.006116,0.309688,-0.041
1785589850.665,0.308800,0.006471,0.308867,0.134
1785589850.701,0.310695,0.006537,0.310764,0.128
1785589850.735,0.313786,0.007352,0.313872,-0.056
1785589850.767,0.315392,0.003401,0.315410,-0.134
1785589850.802,0.311647,-0.002980,0.311661,-0.073
1785589850.833,0.306232,-0.001704,0.306237,0.010
1785589850.866,0.303708,0.003230,0.303725,-0.040
1785589850.899,0.306204,0.004522,0.306238,-0.084
1785589850.933,0.310608,-0.003056,0.310623,-0.042
1785589850.965,0.312697,-0.009289,0.312835,0.086
1785589851.003,0.322246,-0.008892,0.322368,0.144
1785589851.034,0.333921,-0.001219,0.333923,0.386
1785589851.068,0.326393,0.000677,0.326394,0.297
1785589851.100,0.297150,-0.005465,0.297201,0.248
1785589851.134,0.292035,-0.010290,0.292216,0.370
1785589851.166,0.301957,-0.004679,0.301993,0.235
1785589851.199,0.304217,0.001005,0.304219,0.052
1785589851.232,0.313161,-0.005014,0.313201,0.003
1785589851.265,0.319960,-0.013350,0.320238,0.125
1785589851.302,0.315359,-0.006649,0.315429,0.141
