time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785589452.800,0.113312,0.000447,0.113313,0.185
1785589452.832,0.265374,-0.004302,0.265409,0.041
1785589452.865,0.325031,-0.016405,0.325445,-0.167
1785589452.898,0.388374,-0.015646,0.388689,-0.157
1785589452.935,0.493925,-0.009880,0.494024,-0.002
1785589452.968,0.526675,-0.006270,0.526713,0.021
1785589453.000,0.538228,-0.010347,0.538328,-0.040
1785589453.033,0.589876,-0.016166,0.590098,0.012
1785589453.066,0.627488,-0.014063,0.627645,0.096
1785589453.100,0.646945,-0.012606,0.647068,0.058
1785589453.135,0.667624,-0.014604,0.667784,0.050
1785589453.169,0.695215,-0.021372,0.695543,0.068
1785589453.233,0.757864,-0.049215,0.759460,1.712
1785589453.935,0.757676,0.005937,0.757699,3.867
1785589453.969,0.773649,-0.004932,0.773665,2.917
1785589454.001,0.779664,-0.023303,0.780012,2.245
1785589454.033,0.780642,-0.019823,0.780894,1.836
1785589454.066,0.795686,-0.009340,0.795741,1.539
1785589454.100,0.809211,-0.017362,0.809398,1.265
1785589454.132,0.802309,-0.029273,0.802843,1.020
1785589454.165,0.804293,-0.018041,0.804495,0.832
1785589454.198,0.807477,-0.007281,0.807510,0.737
1785589454.236,0.772356,-0.006640,0.772384,0.366
1785589454.267,0.792441,0.008968,0.792492,-2.008
1785589455.000,0.528538,0.035085,0.529701,-4.661
1785589455.033,0.534724,0.017171,0.534999,-3.683
1785589455.065,0.538592,0.019117,0.538931,-2.703
1785589455.099,0.534323,0.041795,0.535955,-2.065
1785589455.136,0.535321,0.049110,0.537569,-1.507
1785589455.168,0.539335,0.032180,0.540294,-1.095
1785589455.201,0.541830,0.025765,0.542442,-0.767
1785589455.234,0.549222,0.037675,0.550512,-0.511
1785589455.332,0.557025,0.048769,0.559156,-0.294
1785589455.366,0.543914,0.041887,0.545525,0.087
1785589455.400,0.509964,0.036210,0.511248,0.677
1785589455.435,0.497527,0.042613,0.499348,2.171
1785589455.501,0.453710,0.035443,0.455093,4.356
1785589455.533,0.409514,0.007583,0.409584,4.859
1785589456.001,0.283690,0.046020,0.287399,1.094
1785589456.034,0.282528,0.027205,0.283835,1.514
1785589456.068,0.275451,0.047482,0.279514,1.730
1785589456.133,0.250710,0.041461,0.254115,0.863
1785589456.166,0.207325,0.029511,0.209415,0.693
1785589456.200,0.186935,0.042336,0.191669,0.600
1785589456.266,0.136864,0.039254,0.142382,0.350
1785589456.299,0.123352,0.027539,0.126388,0.262
