time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785587391.698,0.132921,0.007242,0.133118,0.666
1785587391.732,0.300861,0.011008,0.301062,-0.264
1785587391.768,0.335078,-0.021562,0.335771,-1.368
1785587391.797,0.320242,-0.018750,0.320790,-0.511
1785587391.830,0.287674,0.001346,0.287678,-0.166
1785587391.863,0.275682,-0.000980,0.275684,0.360
1785587391.899,0.303169,-0.015730,0.303576,0.300
1785587391.933,0.338510,-0.009057,0.338632,0.244
1785587391.965,0.364535,0.005744,0.364581,-0.436
1785587391.998,0.359918,0.003250,0.359933,-0.681
1785587392.031,0.331038,-0.010682,0.331210,-0.319
1785587392.065,0.311996,-0.013652,0.312295,0.057
1785587392.097,0.304690,-0.005807,0.304745,0.439
1785587392.132,0.315621,0.001391,0.315624,0.274
1785587392.164,0.320772,-0.005520,0.320820,-0.038
1785587392.199,0.323991,-0.002559,0.324001,-0.040
1785587392.233,0.318913,0.003793,0.318935,-0.051
1785587392.265,0.318922,0.001674,0.318927,0.059
1785587392.298,0.319279,-0.005953,0.319334,0.137
1785587392.331,0.319295,-0.005945,0.319351,0.099
1785587392.366,0.320772,-0.001019,0.320773,0.100
1785587392.398,0.322346,-0.004323,0.322375,0.228
1785587392.431,0.324685,-0.008724,0.324802,0.257
1785587392.464,0.325347,-0.001306,0.325350,0.197
1785587392.497,0.325135,0.005473,0.325181,-0.002
1785587392.530,0.325786,0.005017,0.325824,-0.063
1785587392.563,0.321149,-0.002233,0.321157,0.070
1785587392.600,0.316124,-0.008137,0.316228,0.190
1785587392.632,0.317538,-0.001959,0.317544,0.149
1785587392.665,0.316602,0.004178,0.316630,-0.016
1785587392.698,0.316735,-0.002790,0.316747,-0.034
1785587392.732,0.317886,-0.014928,0.318236,0.059
1785587392.764,0.315731,-0.006945,0.315808,0.255
1785587392.796,0.322435,0.005420,0.322480,0.263
1785587392.829,0.327885,0.004142,0.327911,0.190
1785587392.863,0.332092,-0.007369,0.332173,0.098
1785587392.899,0.343422,-0.014663,0.343735,0.186
1785587392.932,0.335874,-0.004264,0.335901,0.271
1785587392.966,0.312553,0.005609,0.312603,0.262
1785587392.999,0.303561,0.006507,0.303631,0.303
1785587393.031,0.311787,-0.006010,0.311845,0.318
1785587393.064,0.312907,-0.003967,0.312932,0.329
1785587393.097,0.322639,0.008346,0.322747,0.276
1785587393.130,0.334427,0.019093,0.334972,0.183
1785587393.164,0.332132,0.010322,0.332292,0.009
1785587393.199,0.333454,-0.002455,0.333463,0.025
1785587393.233,0.317178,0.001158,0.317180,0.034
1785587393.265,0.304471,0.005148,0.304514,0.094
1785587393.298,0.307685,0.005355,0.307732,0.214
1785587393.331,0.310525,-0.000577,0.310525,0.142
1785587393.364,0.312605,-0.004231,0.312634,0.013
1785587393.399,0.325201,-0.003333,0.325218,0.080
1785587393.430,0.332341,0.000990,0.332343,0.070
1785587393.467,0.329912,0.000468,0.329913,0.085
1785587393.499,0.324154,-0.000243,0.324154,0.105
1785587393.531,0.306392,-0.001634,0.306396,0.107
1785587393.565,0.294640,0.000338,0.294641,0.339
1785587393.598,0.303669,0.002965,0.303683,0.249
1785587393.631,0.319031,-0.004766,0.319067,0.179
1785587393.664,0.329243,-0.001137,0.329245,0.324
1785587393.697,0.336136,0.006380,0.336196,-0.057
1785587393.730,0.323513,0.006460,0.323578,-0.148
1785587393.763,0.322387,-0.001529,0.322390,-0.026
1785587393.798,0.306888,-0.012549,0.307145,0.131
1785587393.834,0.302820,-0.010930,0.303017,0.207
1785587393.866,0.306899,-0.002790,0.306912,0.215
1785587393.898,0.306425,-0.004189,0.306454,0.010
1785587393.931,0.319627,-0.011117,0.319820,0.022
1785587393.964,0.332374,-0.009124,0.332499,-0.096
1785587393.997,0.329596,-0.002895,0.329608,-0.206
1785587394.032,0.327041,-0.002684,0.327052,-0.149
1785587394.063,0.322477,-0.009415,0.322614,-0.093
1785587394.099,0.305391,-0.014507,0.305736,0.119
1785587394.135,0.307105,-0.006302,0.307170,0.295
1785587394.166,0.315360,0.000023,0.315360,0.400
1785587394.198,0.320239,-0.008903,0.320363,0.128
1785587394.231,0.340948,-0.021851,0.341648,0.102
1785587394.264,0.342012,-0.009559,0.342146,0.154
1785587394.297,0.333975,0.009920,0.334122,0.055
1785587394.331,0.312109,0.001441,0.312112,-0.125
1785587394.364,0.302682,-0.021746,0.303463,0.295
1785587394.400,0.311482,-0.015475,0.311866,0.584
1785587394.432,0.313866,0.007804,0.313963,0.433
1785587394.465,0.319930,0.012758,0.320185,0.007
1785587394.498,0.327952,0.001523,0.327956,-0.018
1785587394.531,0.328541,-0.008520,0.328651,0.008
