time_sec,forward_speed_mps,lateral_speed_mps,total_speed_mps,yaw_rate_deg_s
1785588322.741,0.232706,0.001594,0.232711,-0.947
1785588322.777,0.413953,-0.029027,0.414969,-0.906
1785588322.805,0.482223,-0.013557,0.482413,-1.380
1785588322.839,0.367534,0.012966,0.367763,-1.647
1785588322.875,0.326788,0.017267,0.327243,-1.508
1785588322.908,0.264255,-0.026269,0.265557,-0.771
1785588322.941,0.277975,-0.021306,0.278790,-0.401
1785588322.975,0.326833,0.012114,0.327057,-0.463
1785588323.007,0.363134,0.019944,0.363681,-1.576
1785588323.040,0.343079,-0.011217,0.343263,-1.495
1785588323.072,0.300586,-0.020584,0.301290,-1.109
1785588323.106,0.290196,-0.009898,0.290365,-0.696
1785588323.142,0.335208,0.007835,0.335299,-0.528
1785588323.175,0.342973,-0.000614,0.342973,-0.703
1785588323.208,0.306264,-0.008861,0.306392,-0.947
1785588323.243,0.303676,-0.003704,0.303698,-0.644
1785588323.273,0.324786,-0.000217,0.324786,-0.440
1785588323.309,0.335056,-0.007247,0.335135,-0.430
1785588323.339,0.315674,-0.010676,0.315855,-0.493
1785588323.372,0.310685,-0.002951,0.310699,-0.413
1785588323.407,0.323439,0.002424,0.323448,-0.411
1785588323.441,0.331792,-0.004192,0.331819,-0.537
1785588323.476,0.320350,-0.008756,0.320469,-0.504
1785588323.508,0.316116,-0.004388,0.316146,-0.489
1785588323.543,0.328186,-0.000407,0.328186,-0.479
1785588323.574,0.337777,-0.003215,0.337792,-0.482
1785588323.607,0.325243,-0.011085,0.325432,-0.582
1785588323.642,0.313205,-0.013571,0.313499,-0.536
1785588323.673,0.323131,-0.004557,0.323163,-0.485
1785588323.706,0.338996,-0.004431,0.339025,-0.603
1785588323.739,0.329007,-0.020229,0.329629,-0.613
1785588323.775,0.315984,-0.020538,0.316651,-0.485
1785588323.812,0.318390,-0.000698,0.318391,-0.393
1785588323.840,0.330838,0.005965,0.330892,-0.544
1785588323.873,0.336233,-0.004410,0.336262,-0.572
1785588323.906,0.327100,-0.010690,0.327275,-0.749
1785588323.939,0.318372,-0.000947,0.318374,-0.846
1785588323.976,0.327133,0.006263,0.327193,-0.769
1785588324.005,0.337086,0.001263,0.337088,-0.911
1785588324.038,0.329011,-0.000940,0.329012,-1.052
1785588324.075,0.321657,0.007591,0.321746,-0.932
1785588324.108,0.328761,0.014892,0.329099,-1.107
1785588324.141,0.337217,0.010981,0.337396,-1.298
1785588324.173,0.331774,0.005944,0.331827,-1.280
1785588324.206,0.326733,0.007531,0.326820,-1.385
1785588324.239,0.329443,0.006748,0.329512,-1.427
1785588324.272,0.333126,0.002842,0.333138,-1.291
1785588324.312,0.328753,0.000547,0.328753,-1.287
1785588324.340,0.326345,0.006456,0.326409,-1.423
1785588324.374,0.327610,0.008184,0.327713,-1.293
1785588324.408,0.335096,0.000029,0.335096,-1.417
1785588324.441,0.334019,-0.005402,0.334063,-1.394
1785588324.474,0.330273,-0.002764,0.330284,-1.240
1785588324.510,0.324480,0.004926,0.324517,-1.172
1785588324.540,0.332220,0.006312,0.332280,-1.191
1785588324.575,0.336274,0.004193,0.336300,-1.062
1785588324.609,0.330211,0.002856,0.330224,-1.125
1785588324.643,0.322706,0.007424,0.322791,-1.112
1785588324.673,0.327999,0.008128,0.328100,-0.965
1785588324.707,0.341197,0.007645,0.341283,-1.004
1785588324.740,0.336247,0.012055,0.336463,-1.207
1785588324.773,0.326491,0.015238,0.326846,-1.173
1785588324.810,0.325082,0.010470,0.325251,-1.307
1785588324.843,0.338290,0.006445,0.338351,-1.408
1785588324.873,0.334028,0.003637,0.334048,-1.337
1785588324.907,0.315813,0.001066,0.315815,-1.341
1785588324.940,0.318842,0.006366,0.318905,-1.368
1785588324.975,0.338094,0.014793,0.338417,-1.362
1785588325.009,0.347868,0.011884,0.348071,-1.629
1785588325.041,0.331005,0.007430,0.331088,-1.697
1785588325.073,0.320539,0.012295,0.320775,-1.457
1785588325.108,0.334390,0.017329,0.334839,-1.390
1785588325.140,0.347084,0.008945,0.347200,-1.488
1785588325.173,0.340077,0.001988,0.340083,-1.425
1785588325.210,0.319915,0.013015,0.320179,-1.362
1785588325.241,0.329510,0.015840,0.329891,-1.398
1785588325.273,0.349447,0.006952,0.349516,-1.325
1785588325.308,0.341395,0.004066,0.341420,-1.511
1785588325.340,0.320023,0.017401,0.320496,-1.560
1785588325.374,0.318690,0.023289,0.319540,-1.387
1785588325.408,0.345965,0.012149,0.346178,-1.554
1785588325.442,0.344892,0.007430,0.344972,-1.667
1785588325.474,0.328110,0.017233,0.328562,-1.497
1785588325.507,0.322590,0.027940,0.323797,-1.487
1785588325.541,0.341924,0.020915,0.342563,-1.694
1785588325.574,0.350385,0.018578,0.350877,-1.664
1785588325.609,0.334581,0.027807,0.335735,-1.878
1785588325.641,0.324798,0.027841,0.325989,-1.845
1785588325.676,0.329281,0.017465,0.329744,-1.637
1785588325.708,0.344484,0.014081,0.344771,-1.840
1785588325.741,0.340423,0.019618,0.340988,-2.027
1785588325.774,0.332512,0.022047,0.333242,-1.833
1785588325.808,0.336366,0.016360,0.336764,-1.877
1785588325.841,0.344153,0.013980,0.344437,-1.994
1785588325.874,0.341688,0.020146,0.342281,-1.840
1785588325.908,0.334748,0.021754,0.335454,-1.942
1785588325.940,0.337676,0.017430,0.338126,-1.946
1785588325.974,0.335920,0.014108,0.336216,-1.816
1785588326.008,0.331484,0.022112,0.332221,-1.892
1785588326.044,0.335003,0.022641,0.335767,-1.964
1785588326.074,0.338524,0.017252,0.338964,-1.821
1785588326.108,0.337051,0.015019,0.337386,-1.895
1785588326.141,0.331612,0.022865,0.332400,-2.006
1785588326.174,0.333894,0.026848,0.334972,-1.836
1785588326.209,0.345234,0.022503,0.345967,-2.011
1785588326.244,0.346038,0.021030,0.346676,-2.128
1785588326.273,0.337052,0.022274,0.337788,-1.973
1785588326.310,0.330129,0.018902,0.330670,-1.884
1785588326.340,0.338427,0.012326,0.338652,-2.012
